ID,Datetime,A,B,C,D,E,F,G,H
150,2005-02-28,410460,,52421,,,41577,,
151,2005-03-01,442300,,57543,,,41994,,
152,2005-03-02,445522,,57687,,,43277,,
153,2005-03-03,434906,,55885,,,42984,,
154,2005-03-04,423921,,54494,,,41393,,
155,2005-03-05,370053,,45789,,,36832,,
156,2005-03-06,341937,,42568,,,35638,,
157,2005-03-07,371327,,49132,,,38550,,
158,2005-03-08,418298,,55461,,,42257,,
159,2005-03-09,429768,,56583,,,43938,,
160,2005-03-10,421636,,57165,,,42979,,
161,2005-03-11,408397,,54184,,,41347,,
162,2005-03-12,380530,,48416,,,38530,,
163,2005-03-13,359374,,45324,,,37374,,
164,2005-03-14,398975,,53054,,,41501,,
165,2005-03-15,397627,,52598,,,40655,,
166,2005-03-16,402127,,52083,,,40728,,
167,2005-03-17,394746,,50593,,,40041,,
168,2005-03-18,379773,,48710,,,38957,,
169,2005-03-19,351729,,43287,,,35357,,
170,2005-03-20,337025,,43256,,,35234,,
171,2005-03-21,381706,,51285,,,40175,,
172,2005-03-22,382930,,52038,,,40245,,
173,2005-03-23,380088,,53758,,,40097,,
174,2005-03-24,383810,,51464,,,40382,,
175,2005-03-25,355178,,45352,,,37789,,
176,2005-03-26,328211,,41224,,,35591,,
177,2005-03-27,315459,,39882,,,33060,,
178,2005-03-28,361071,,48947,,,37739,,
179,2005-03-29,358743,,48839,,,37521,,
180,2005-03-30,349440,,47051,,,36889,,
181,2005-03-31,340895,,45965,,,36109,,
182,2005-04-01,348358,,47151,,,34561,,
183,2005-04-02,350010,,45227,,,33368,,
184,2005-04-03,315021,,38902,,,33008,,
185,2005-04-04,352225,,47107,,,36899,,
186,2005-04-05,346789,,46403,,,35579,,
187,2005-04-06,337256,,46480,,,36053,,
188,2005-04-07,339447,,46633,,,35853,,
189,2005-04-08,335421,,45279,,,34604,,
190,2005-04-09,303655,,38415,,,31205,,
191,2005-04-10,288786,,36648,,,30205,,
192,2005-04-11,329595,,45738,,,35315,,
193,2005-04-12,335568,,46406,,,34979,,
194,2005-04-13,346691,,46808,,,35396,,
195,2005-04-14,347106,,46674,,,35077,,
196,2005-04-15,338782,,45330,,,34232,,
197,2005-04-16,309685,,38334,,,31364,,
198,2005-04-17,296710,,36727,,,30825,,
199,2005-04-18,338772,,46616,,,35829,,
200,2005-04-19,347358,,47691,,,36325,,
201,2005-04-20,345837,,47931,,,36575,,
202,2005-04-21,336195,,45885,,,35194,,
203,2005-04-22,339327,,45910,,,34605,,
204,2005-04-23,336324,,42367,,,32497,,
205,2005-04-24,352867,,43789,,,33593,,
206,2005-04-25,360068,,48002,,,37116,,
207,2005-04-26,351312,,47736,,,36523,,
208,2005-04-27,348692,,48307,,,36411,,
209,2005-04-28,351963,,47670,,,35574,,
210,2005-04-29,345491,,46231,,,36081,,
211,2005-04-30,314001,,40107,,,33074,,
212,2005-05-01,300874,,38876,,179684,32088,,
213,2005-05-02,354829,,47671,,206594,37024,,
214,2005-05-03,361948,,48758,,207960,38205,,
215,2005-05-04,356279,,47949,,207091,37812,,
216,2005-05-05,348558,,46807,,208861,37556,,
217,2005-05-06,338772,,45532,,216205,36159,,
218,2005-05-07,305282,,38540,,199251,32533,,
219,2005-05-08,288499,,36784,,186528,31768,,
220,2005-05-09,344112,,48536,,211164,37632,,
221,2005-05-10,354265,,50865,,214278,39085,,
222,2005-05-11,366216,,52867,,227102,41902,,
223,2005-05-12,347610,,46366,,233860,38673,,
224,2005-05-13,344416,,46932,,203577,36824,,
225,2005-05-14,311363,,39457,,207005,34837,,
226,2005-05-15,286320,,36164,,206761,31813,,
227,2005-05-16,332366,,45354,,214015,35673,,
228,2005-05-17,342444,,46550,,210384,36556,,
229,2005-05-18,342162,,46725,,214493,37131,,
230,2005-05-19,344802,,47002,,210419,36636,,
231,2005-05-20,333687,,45808,,207948,36560,,
232,2005-05-21,302452,,39239,,191593,33260,,
233,2005-05-22,287690,,36836,,192071,32383,,
234,2005-05-23,335285,,45998,,216705,36372,,
235,2005-05-24,336577,,45823,,207736,36174,,
236,2005-05-25,336957,,46378,,208394,37175,,
237,2005-05-26,344745,,47020,,214384,37645,,
238,2005-05-27,333854,,44679,,222348,36643,,
239,2005-05-28,290557,,36567,,202067,32563,,
240,2005-05-29,278378,,34932,,193685,30898,,
241,2005-05-30,286890,,36020,,201604,30280,,
242,2005-05-31,343505,,47155,,226701,36933,,
243,2005-06-01,346510,,49029,,221729,39556,,
244,2005-06-02,344445,,47954,,212091,38565,,
245,2005-06-03,346486,,48741,,215959,37729,,
246,2005-06-04,340616,,46060,,213382,35870,,
247,2005-06-05,356258,,48971,,246213,39290,,
248,2005-06-06,415076,,61554,,298448,46543,,
249,2005-06-07,420704,,62535,,296223,47991,,
250,2005-06-08,428397,,64151,,302808,50732,,
251,2005-06-09,434067,,65888,,305362,51653,,
252,2005-06-10,436952,,63721,,301995,52838,,
253,2005-06-11,384188,,50926,,289883,47014,,
254,2005-06-12,364683,,49041,,282771,45935,,
255,2005-06-13,421104,,59767,,321779,52763,,
256,2005-06-14,428099,,63188,,337363,53205,,
257,2005-06-15,388172,,54328,,330539,44568,,
258,2005-06-16,361964,,49361,,298157,40604,,
259,2005-06-17,349232,,48313,,263322,37515,,
260,2005-06-18,314140,,40599,,234152,34278,,
261,2005-06-19,307076,,39267,,242054,33666,,
262,2005-06-20,365023,,51322,,233209,39771,,
263,2005-06-21,383697,,54903,,245625,42257,,
264,2005-06-22,401150,,58931,,265498,45268,,
265,2005-06-23,402661,,57579,,268005,44270,,
266,2005-06-24,420651,,60416,,274727,47484,,
267,2005-06-25,403889,,56250,,269553,47068,,
268,2005-06-26,394028,,55085,,260404,50190,,
269,2005-06-27,448727,,67042,,302289,53959,,
270,2005-06-28,430341,,62154,,316369,52884,,
271,2005-06-29,434576,,64217,,287542,50913,,
272,2005-06-30,427328,,60356,,298528,50680,,
273,2005-07-01,404738,,55628,,317679,47414,,
274,2005-07-02,339327,,43227,,285492,40104,,
275,2005-07-03,332765,,44440,,256671,39138,,
276,2005-07-04,362180,,51066,,262830,44587,,
277,2005-07-05,389212,,54811,,285951,48530,,
278,2005-07-06,388065,,54543,,304535,46313,,
279,2005-07-07,374750,,54793,,286112,45181,,
280,2005-07-08,375850,,53648,,276897,46022,,
281,2005-07-09,357909,,49052,,272731,42560,,
282,2005-07-10,358837,,48931,,280244,41893,,
283,2005-07-11,415891,,58045,,306377,48873,,
284,2005-07-12,444915,,62234,,324418,51990,,
285,2005-07-13,424092,,56291,,313960,52727,,
286,2005-07-14,415286,,56577,,300016,50968,,
287,2005-07-15,426952,,60536,,301920,52933,,
288,2005-07-16,400153,,55040,,305643,49417,,
289,2005-07-17,387354,,53913,,303040,47690,,
290,2005-07-18,445250,,66544,,334617,52854,,
291,2005-07-19,447460,,66064,,341729,53265,,
292,2005-07-20,443041,,64875,,334725,52182,,
293,2005-07-21,457496,,68208,,332516,51962,,
294,2005-07-22,445456,,66026,,330089,51131,,
295,2005-07-23,404277,,57804,,308031,45272,,
296,2005-07-24,393616,,58861,,277417,41615,,
297,2005-07-25,469403,,74165,,321639,53602,,
298,2005-07-26,474872,,73873,,357050,52265,,
299,2005-07-27,429020,,59371,,370458,48995,,
300,2005-07-28,397594,,54620,,312577,45483,,
301,2005-07-29,396678,,55600,,280118,46199,,
302,2005-07-30,372003,,50395,,270171,43783,,
303,2005-07-31,372280,,51552,,259148,45831,,
304,2005-08-01,436974,,64970,,296189,51684,,
305,2005-08-02,457263,,67575,,315111,54155,,
306,2005-08-03,463564,,68522,,333712,55376,,
307,2005-08-04,461301,,69113,,338030,56773,,
308,2005-08-05,435623,,62970,,337832,51030,,
309,2005-08-06,383906,,51819,,311449,43411,,
310,2005-08-07,373055,,51388,,292910,44358,,
311,2005-08-08,422208,,64215,,306034,46553,,
312,2005-08-09,438006,,64841,,281760,49206,,
313,2005-08-10,447699,,65855,,301796,53368,,
314,2005-08-11,445092,,65183,,327398,54275,,
315,2005-08-12,459700,,66744,,342886,56793,,
316,2005-08-13,428651,,62795,,338551,54849,,
317,2005-08-14,385583,,52194,,335185,49899,,
318,2005-08-15,416698,,55412,,345254,47222,,
319,2005-08-16,412849,,54798,,316479,44596,,
320,2005-08-17,416776,,58158,,297368,45384,,
321,2005-08-18,417203,,61095,,290727,47232,,
322,2005-08-19,440174,,64965,,280938,51142,,
323,2005-08-20,418745,,60347,,305604,50337,,
324,2005-08-21,389952,,53547,,324421,46901,,
325,2005-08-22,395979,,56507,,314996,44187,,
326,2005-08-23,382012,,53067,,278936,41054,,
327,2005-08-24,382523,,52925,,281289,41670,,
328,2005-08-25,399709,,56016,,268929,42200,,
329,2005-08-26,393721,,57052,,252582,41669,,
330,2005-08-27,366925,,52872,,238572,38270,,
331,2005-08-28,362769,,49521,,272561,41603,,
332,2005-08-29,399219,,58374,,306823,41024,,
333,2005-08-30,401061,,56373,,318042,42662,,
334,2005-08-31,399871,,56464,,331092,43968,,
335,2005-09-01,395822,,57069,,292144,43970,,
336,2005-09-02,386720,,55230,,289067,44218,,
337,2005-09-03,332377,,43028,,260682,38346,,
338,2005-09-04,312416,,40878,,237896,35617,,
339,2005-09-05,317458,,42595,,242079,35395,,
340,2005-09-06,375495,,54090,,253485,41644,,
341,2005-09-07,383266,,55615,,253304,42009,,
342,2005-09-08,389250,,56273,,256106,42192,,
343,2005-09-09,392656,,57776,,259589,44437,,
344,2005-09-10,366139,,51878,,249166,39483,,
345,2005-09-11,348879,,47597,,237785,38828,,
346,2005-09-12,399674,,57368,,259629,44398,,
347,2005-09-13,408238,,59069,,273449,45359,,
348,2005-09-14,404751,,56604,,296018,46234,,
349,2005-09-15,402433,,57463,,306212,47994,,
350,2005-09-16,386946,,54927,,305761,49118,,
351,2005-09-17,335940,,43753,,287726,41296,,
352,2005-09-18,326917,,42192,,269778,38718,,
353,2005-09-19,376112,,51868,,282127,42326,,
354,2005-09-20,385641,,53642,,291230,43248,,
355,2005-09-21,380541,,53757,,272622,41902,,
356,2005-09-22,396209,,56777,,274101,42801,,
357,2005-09-23,386067,,54886,,293002,43857,,
358,2005-09-24,343673,,46840,,244487,37294,,
359,2005-09-25,340685,,47261,,236322,39083,,
360,2005-09-26,374467,,53781,,266718,42552,,
361,2005-09-27,360674,,50335,,254331,38721,,
362,2005-09-28,358896,,50405,,233944,38434,,
363,2005-09-29,347962,,48097,,237737,36922,,
364,2005-09-30,333638,,45889,,215868,36953,,
365,2005-10-01,309256,,40127,,205677,34131,,
366,2005-10-02,314965,,41909,,209763,34977,,
367,2005-10-03,375920,,54671,,231950,40646,,
368,2005-10-04,379934,,54309,,241147,40660,,
369,2005-10-05,377712,,54111,,252626,40693,,
370,2005-10-06,376695,,54070,,261357,42837,,
371,2005-10-07,351175,,46870,,258642,42105,,
372,2005-10-08,313422,,40304,,238221,33803,,
373,2005-10-09,297060,,38631,,201282,32892,,
374,2005-10-10,342009,,46722,,216013,36832,,
375,2005-10-11,346761,,47703,,220633,36704,,
376,2005-10-12,347238,,47994,,215108,37029,,
377,2005-10-13,347589,,48272,,209517,36973,,
378,2005-10-14,340694,,47214,,210872,37714,,
379,2005-10-15,305352,,40290,,198793,33837,,
380,2005-10-16,293034,,37762,,189932,32828,,
381,2005-10-17,340378,,46851,,208524,36200,,
382,2005-10-18,346173,,47596,,214648,36579,,
383,2005-10-19,346923,,47934,,218234,36632,,
384,2005-10-20,349982,,47437,,219194,36600,,
385,2005-10-21,347825,,47762,,212980,37368,,
386,2005-10-22,317641,,40912,,202648,34800,,
387,2005-10-23,310175,,39895,,194055,33461,,
388,2005-10-24,365040,,49895,,218379,37631,,
389,2005-10-25,385098,,50781,,232843,39145,,
390,2005-10-26,375814,,49808,,232650,38867,,
391,2005-10-27,380432,,49105,,234752,38525,,
392,2005-10-28,372445,,49372,,231957,38464,,
393,2005-10-29,349270,,43762,,226567,34887,,
394,2005-10-30,317912,,39629,,210101,33084,,
395,2005-10-31,361443,,48031,,225441,36929,,
396,2005-11-01,363353,,48648,,218901,37356,,
397,2005-11-02,360321,,49510,,214410,38410,,
398,2005-11-03,364267,,48831,,226123,38087,,
399,2005-11-04,350840,,47435,,216651,37225,,
400,2005-11-05,315664,,40881,,199090,33562,,
401,2005-11-06,299186,,38583,,195452,32241,,
402,2005-11-07,351704,,47445,,209839,35798,,
403,2005-11-08,359526,,47892,,214457,38062,,
404,2005-11-09,352072,,47901,,213431,38604,,
405,2005-11-10,364094,,49369,,214935,38343,,
406,2005-11-11,376206,,49533,,229406,38446,,
407,2005-11-12,339359,,42185,,221430,35515,,
408,2005-11-13,316789,,39170,,205588,33950,,
409,2005-11-14,354692,,47894,,210845,36509,,
410,2005-11-15,354985,,49086,,215030,37538,,
411,2005-11-16,371029,,51961,,217028,38647,,
412,2005-11-17,414618,,55615,,232061,41378,,
413,2005-11-18,423583,,56133,,263400,41527,,
414,2005-11-19,373603,,46460,,254759,37152,,
415,2005-11-20,336863,,43021,,226460,34897,,
416,2005-11-21,382119,,51667,,237054,38020,,
417,2005-11-22,403456,,53966,,245666,38915,,
418,2005-11-23,420407,,55880,,268499,40627,,
419,2005-11-24,349408,,45406,,232358,36356,,
420,2005-11-25,387293,,49173,,267126,39548,,
421,2005-11-26,368740,,45591,,261523,37184,,
422,2005-11-27,341479,,41732,,240126,34203,,
423,2005-11-28,364119,,48892,,225427,36445,,
424,2005-11-29,370635,,51605,,217635,38420,,
425,2005-11-30,409905,,55839,,219860,40753,,
426,2005-12-01,430796,,57161,,253230,41306,,
427,2005-12-02,436351,,58360,,267854,42886,,
428,2005-12-03,414389,,53268,,270987,40207,,
429,2005-12-04,379256,,49975,,235449,38722,,
430,2005-12-05,437855,,58539,,277942,41612,,
431,2005-12-06,453853,,61581,,290379,42645,,
432,2005-12-07,456877,,60544,,301494,43435,,
433,2005-12-08,467785,,62644,,304591,44737,,
434,2005-12-09,452759,,61853,,286825,44128,,
435,2005-12-10,425317,,54759,,284621,41076,,
436,2005-12-11,400208,,50610,,264028,40381,,
437,2005-12-12,441971,,58775,,278361,43950,,
438,2005-12-13,457519,,59992,,303328,45596,,
439,2005-12-14,466054,,60319,,331184,46002,,
440,2005-12-15,448645,,58470,,305616,45349,,
441,2005-12-16,436673,,57421,,263882,42623,,
442,2005-12-17,415524,,52684,,271329,39673,,
443,2005-12-18,398894,,51898,,265812,39153,,
444,2005-12-19,464775,,62719,,291514,44382,,
445,2005-12-20,488300,,64064,,309230,45655,,
446,2005-12-21,469584,,59774,,311269,45238,,
447,2005-12-22,457519,,58160,,306607,43878,,
448,2005-12-23,409696,,52290,,273172,40051,,
449,2005-12-24,351715,,43353,,240515,35802,,
450,2005-12-25,330187,,40679,,232576,34049,,
451,2005-12-26,369544,,45977,,237057,37346,,
452,2005-12-27,391897,,47886,,259531,40021,,
453,2005-12-28,377614,,45028,,258821,39064,,
454,2005-12-29,386272,,48396,,237175,39109,,
455,2005-12-30,380603,,47176,,247891,39716,,
456,2005-12-31,357718,,44930,,241043,37353,,
457,2006-01-01,348838,,41854,,234563,33923,,
458,2006-01-02,360979,,43052,,260879,36496,,
459,2006-01-03,388440,,50291,,255301,40022,,
460,2006-01-04,389390,,51736,,265493,40075,,
461,2006-01-05,408358,,54286,,251599,40394,,
462,2006-01-06,431726,,55817,,267247,41900,,
463,2006-01-07,407393,,49276,,282123,39705,,
464,2006-01-08,370067,,45136,,257914,35947,,
465,2006-01-09,387682,,51872,,239869,38826,,
466,2006-01-10,398395,,53246,,237584,39571,,
467,2006-01-11,388405,,52497,,240381,39384,,
468,2006-01-12,397572,,51307,,229219,39008,,
469,2006-01-13,386520,,49353,,228120,38399,,
470,2006-01-14,395799,,48680,,226486,37118,,
471,2006-01-15,384663,,45414,,271550,36747,,
472,2006-01-16,412237,,50549,,268979,38841,,
473,2006-01-17,400122,,51196,,261662,39896,,
474,2006-01-18,433470,,57098,,242127,41219,,
475,2006-01-19,415599,,53244,,262962,40995,,
476,2006-01-20,382507,,49198,,239122,39035,,
477,2006-01-21,355687,,44204,,221119,36282,,
478,2006-01-22,371655,,46621,,245232,35761,,
479,2006-01-23,402586,,52404,,263914,38940,,
480,2006-01-24,412101,,54932,,249240,41224,,
481,2006-01-25,430900,,55980,,265263,41912,,
482,2006-01-26,431851,,54584,,287312,42893,,
483,2006-01-27,423470,,52939,,284363,42225,,
484,2006-01-28,357557,,43489,,246312,37429,,
485,2006-01-29,335489,,41409,,224004,35563,,
486,2006-01-30,384415,,50369,,224638,37630,,
487,2006-01-31,415045,,54182,,240566,40312,,
488,2006-02-01,411584,,53311,,260797,40513,,
489,2006-02-02,398624,,52456,,251728,39426,,
490,2006-02-03,381134,,50650,,219121,39266,,
491,2006-02-04,377256,,48346,,217968,36520,,
492,2006-02-05,402668,,50081,,239754,36706,,
493,2006-02-06,436134,,56203,,270857,41165,,
494,2006-02-07,438578,,56847,,268055,42620,,
495,2006-02-08,436268,,56203,,282005,42377,,
496,2006-02-09,447289,,57172,,287397,42432,,
497,2006-02-10,433006,,54513,,285312,42018,,
498,2006-02-11,402222,,48451,,269175,38649,,
499,2006-02-12,398679,,47249,,275595,38239,,
500,2006-02-13,451697,,56756,,295302,41853,,
501,2006-02-14,429076,,53942,,276096,39104,,
502,2006-02-15,404210,,51258,,247465,37702,,
503,2006-02-16,383585,,49342,,232823,37345,,
504,2006-02-17,392269,,53152,,220127,38436,,
505,2006-02-18,425126,,53884,,257046,39510,,
506,2006-02-19,431750,,53014,,304580,39336,,
507,2006-02-20,443250,,56618,,288803,41208,,
508,2006-02-21,423670,,55234,,266191,40762,,
509,2006-02-22,414933,,54060,,273871,40011,,
510,2006-02-23,401053,,52703,,253513,39041,,
511,2006-02-24,407845,,52792,,256825,39580,,
512,2006-02-25,373407,,45333,,251928,36139,,
513,2006-02-26,386402,,47814,,267755,37214,,
514,2006-02-27,435404,,54549,,297439,42202,,
515,2006-02-28,402052,,53285,,262126,41547,,
516,2006-03-01,389386,,51838,,253669,40726,,
517,2006-03-02,384306,,51518,,240957,41170,,
518,2006-03-03,415885,,53763,,249508,41900,,
519,2006-03-04,394652,,48392,,256653,38847,,
520,2006-03-05,372974,,45361,,242027,36212,,
521,2006-03-06,412950,,53756,,259081,39938,,
522,2006-03-07,411752,,53828,,261672,40477,,
523,2006-03-08,407145,,53867,,261265,41028,,
524,2006-03-09,379094,,50066,,230356,38863,,
525,2006-03-10,361214,,49063,,212274,37500,,
526,2006-03-11,337331,,43738,,197146,35058,,
527,2006-03-12,311747,,39888,,196896,34079,,
528,2006-03-13,352736,,47199,,222149,38839,,
529,2006-03-14,381343,,52712,,212911,40627,,
530,2006-03-15,396602,,52190,,228991,41351,,
531,2006-03-16,388690,,52039,,235751,39966,,
532,2006-03-17,382352,,51382,,228866,38942,,
533,2006-03-18,368448,,45921,,234501,37379,,
534,2006-03-19,357005,,43814,,233923,36219,,
535,2006-03-20,410734,,53041,,247415,40215,,
536,2006-03-21,431024,,57459,,269025,42428,,
537,2006-03-22,424612,,56120,,266797,42133,,
538,2006-03-23,408957,,52896,,252442,40977,,
539,2006-03-24,395546,,50827,,242755,40377,,
540,2006-03-25,376411,,46369,,232794,37496,,
541,2006-03-26,360207,,43553,,234210,36622,,
542,2006-03-27,393959,,51020,,238249,38807,,
543,2006-03-28,384176,,50778,,233658,38482,,
544,2006-03-29,372636,,48942,,221472,37756,,
545,2006-03-30,368676,,48327,,223388,37780,,
546,2006-03-31,347885,,46182,,214822,37372,,
547,2006-04-01,313081,,40494,,197537,33531,,
548,2006-04-02,291915,,36868,,182493,30813,,
549,2006-04-03,349918,,48070,,209753,37341,,
550,2006-04-04,370394,,49960,,208853,38309,,
551,2006-04-05,364534,,48938,,222455,39825,,
552,2006-04-06,362727,,48073,,222268,38275,,
553,2006-04-07,347174,,46880,,211930,37386,,
554,2006-04-08,323846,,42210,,200438,33611,,
555,2006-04-09,321908,,40227,,211699,32937,,
556,2006-04-10,361106,,46892,,225667,36536,,
557,2006-04-11,355186,,47121,,216273,37042,,
558,2006-04-12,346275,,46935,,209403,37016,,
559,2006-04-13,345373,,46662,,215189,37011,,
560,2006-04-14,319779,,41862,,206635,34325,,
561,2006-04-15,306219,,37818,,209916,31765,,
562,2006-04-16,287606,,34942,,190350,29286,,
563,2006-04-17,331195,,43841,,206839,34864,,
564,2006-04-18,344811,,46678,,213902,36552,,
565,2006-04-19,339811,,46897,,214049,37076,,
566,2006-04-20,343921,,47295,,217649,37356,,
567,2006-04-21,340320,,46542,,212222,38126,,
568,2006-04-22,311190,,39760,,201702,34001,,
569,2006-04-23,295618,,36896,,199918,31376,,
570,2006-04-24,342238,,45358,,220282,35547,,
571,2006-04-25,352629,,46657,,219197,35576,,
572,2006-04-26,353492,,47697,,206601,37100,,
573,2006-04-27,349389,,46481,,209841,36977,,
574,2006-04-28,340485,,44795,,204894,36036,,
575,2006-04-29,308039,,38645,,194484,32609,,
576,2006-04-30,295875,,36883,,194671,31039,,
577,2006-05-01,342829,,45621,,215421,35243,,
578,2006-05-02,347072,,46408,,215565,35900,,
579,2006-05-03,348066,,46670,,214728,37064,,
580,2006-05-04,354599,,47286,,222810,37454,,
581,2006-05-05,341392,,44887,,226938,37185,,
